Task 2, final results on bootstrapped resampling of test data

Download ID	T2a Mean sensitivity	T2b Mean sensitivity	T2c Mean sensitivity	Final score

2b33b8ba98ec223548eab4e64ae88dc4	11.50	14.34	14.90	13.58
3ac232f02b893cb57a4487c4a5330ea4	11.56	13.74	15.39	13.56
656708047c26984c5bc03e7450ebd90b	11.18	13.74	15.39	13.44
d0b226d5cb7acf1960c3c366bba827f6	12.02	13.74	14.33	13.36
8e3126f2523ecc6acbc87bff0e3d49c4	10.98	13.99	14.07	13.01
c671036b3aafa55d0dde37175e7fca96	11.11	12.48	14.46	12.68
3c5362554b598ca99371d8f9520b61fa	11.78	12.37	13.15	12.43
b4e3aa99276f8c677d4d7dea4dc1f6b5	11.19	11.95	13.97	12.37
2781ba05576561b182e2809ee9768ccb	10.68	12.24	13.94	12.28
92bbb197efdf5ea61ddf64bdf55e13a6	10.79	12.55	13.45	12.26
4b27bd0bf34dc747b0211623c2eb65a6	8.79	12.58	14.07	11.81
4d79702fce261f0344b32c4a089f7882	11.90	10.13	12.94	11.65
67b82ccc8b29b330f180dcdf82f72fcd	9.25	12.49	12.49	11.41
ec776e4d8991ab9a3772a2422481f27f	8.65	11.27	14.04	11.32
0d36b6b56a1d3605b3f7ee304faa9993	10.21	10.45	12.13	10.93
572de68bda39fccd166160a0d0e7e599	10.15	9.79	12.63	10.86
77617854db97705991f2e10fab7f09c2	9.98	10.54	11.37	10.63
769fb06eceb15b7282dc9122b72add00	9.66	10.91	11.32	10.63
f0edf80fda6fbba3e06b24eb9b3df1fc	8.05	10.89	12.38	10.44
7481dec4886cc40f2bd34a1ae8d89d5f	10.56	8.22	9.65	9.48
32074f9c7d8ac756ef5c77d4ae50d849	8.37	9.22	10.63	9.41
17364b8e5ccb947dd0bf56c9c2c90f5e	7.14	8.93	9.26	8.44
c17cbd4bddbc415337fdc68752dd9436	8.27	8.27	8.27	8.27
da6f41f17af96a64ebc21ce87a4b0799	7.48	7.65	9.22	8.12
81325a4d88994b5966af400b0f97a4eb	6.35	7.51	8.48	7.44
65c983aba5d5c6b5e0bc765df792768e	6.91	7.02	7.43	7.12
9b5ae2264450b107c5ee952ec5a72eeb	5.07	5.96	7.01	6.01
ef76e0193ef8372113a26b9be97368d3	5.18	5.47	6.74	5.79
ddfbe24b943c4889ead6ca1d62011ff2	5.15	5.63	6.28	5.68
f2d2a194dd9c97589d2b1c56d07db28f	5.11	5.33	6.27	5.57
ddb0fceec6f0e804b4ac5ed3fa65da4d	4.55	5.04	5.98	5.19
bf8f0121ad3f7f3b397310b9a576f81f	3.58	5.27	5.54	4.80
90edf490e4c28d1b3b38256fe617e3cd	0.00	2.44	9.29	3.91
ddbfd582abf308ccbf1ee9c0501ebd13	2.98	3.83	4.50	3.77
64e5a8252b98e4769a7b37ec946922cf	2.96	3.63	3.81	3.47
05dd608fccd3b3597517c08e71ad5aee	2.34	2.39	2.44	2.39
c602ab8a2dd48089d1e371b6d83c613e	0.91	0.91	0.91	0.91
c6ac5e1d49084ec5e373b12bc38583c6	0.41	0.46	0.54	0.47
27fb957db3aca93091b2dfde22bb0d48	0.14	0.16	0.20	0.16
a3c34f54cf332e8b3e77b0f000aab967	0.08	0.07	0.07	0.07
e55a770983977c02fd5113c244a5addc	0.00	0.00	0.00	0.00
e38fab690e3ff7a2f39198ca3eeb0b71	0.00	0.00	0.00	0.00
ac80868189c69ec9bec887b92da65312	0.00	0.00	0.00	0.00
d62220e5b3f14aa9a3c723f0c94faa84	0.00	0.00	0.00	0.00
ffa56cf7cc759edb75dd225a9d75b8ef	0.00	0.00	0.00	0.00
9f0dd861b210f17dc03340243e708ddf	0.00	0.00	0.00	0.00
7f10d1b1fdb510968190a701441fdee2	0.00	0.00	0.00	0.00
71cac307edab1362183242d1dd37f5da	0.00	0.00	0.00	0.00
55fdd5d6670559625e697f8b43b4df25	0.00	0.00	0.00	0.00
416dcd50fda8f5aebfd2a28211258203	0.00	0.00	0.00	0.00
82a93157f65f7f213f8df789392a2bc2	0.00	0.00	0.00	0.00
a1d33a3898c587ae85476d7711dd8652	0.00	0.00	0.00	0.00
7f9df23b03c5556ca06989aca584f5e7	0.00	0.00	0.00	0.00
5b11eeaa3abd2fbe27a8782c7ac95282	0.00	0.00	0.00	0.00
dc222863b2fa5486325c403e99551f30	0.00	0.00	0.00	0.00
472841ed288953007171fea8c977d711	0.00	0.00	0.00	0.00
6ea66b3f045715c0711d40503f69ee37	0.00	0.00	0.00	0.00
c979a7d590b53d5fd6e1b57a8c7028fe	0.00	0.00	0.00	0.00
c9cd5a32ed1c924e696d49c4739eb042	0.00	0.00	0.00	0.00
40a5e5f32863b93a9749759e46e8287b	0.00	0.00	0.00	0.00
b10608c680dce2e340b7d91cc773e5db	0.00	0.00	0.00	0.00
0446ffe9133982b27ae939c97c303713	0.00	0.00	0.00	0.00
71076e0b39f6ee18cb6415e4d6e79d11	0.00	0.00	0.00	0.00
7c9ca4fea7553d210f421665b7fd1fb2	0.00	0.00	0.00	0.00
